,freqs,usess,value
0,"10,00 – 10,15",EXPLORAREA PĂMÂNTULUI PRIN SATELIT (ACTIV),1
1,"10,00 – 10,15",EXPLORAREA PĂMÂNTULUI PRIN SATELIT (ACTIV),1
2,"10,00 – 10,15",EXPLORAREA PĂMÂNTULUI PRIN SATELIT (ACTIV),1
3,"10,00 – 10,15",EXPLORAREA PĂMÂNTULUI PRIN SATELIT (ACTIV),1
4,"10,00 – 10,15",AMATOR,1
5,"10,15 – 10,30",EXPLORAREA PĂMÂNTULUI PRIN SATELIT (ACTIV),1
6,"10,15 – 10,30",FIX,1
7,"10,15 – 10,30",RADIOLOCAŢIE,1
8,"10,15 – 10,30",MOBIL,1
9,"10,15 – 10,30",AMATOR,1
10,"10,30 – 10,40",EXPLORAREA PĂMÂNTULUI PRIN SATELIT (ACTIV),1
11,"10,30 – 10,40",FIX,1
12,"10,30 – 10,40",RADIOLOCAŢIE,1
13,"10,30 – 10,40",MOBIL,1
14,"10,30 – 10,40",AMATOR,1
15,"10,40 – 10,45",FIX,1
16,"10,40 – 10,45",RADIOLOCAŢIE,1
17,"10,40 – 10,45",MOBIL,1
18,"10,40 – 10,45",AMATOR,1
19,"10,45 – 10,50",FIX,1
20,"10,45 – 10,50",RADIOLOCAŢIE,1
21,"10,45 – 10,50",AMATOR,1
22,"10,45 – 10,50",AMATOR PRIN SATELIT,1
23,"10,45 – 10,50",MOBIL,1
24,"10,50 – 10,55",FIX,1
25,"10,50 – 10,55",MOBIL,1
26,"10,50 – 10,55",RADIOLOCAŢIE,1
27,"10,55 – 10,60",FIX,1
28,"10,55 – 10,60",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC,1
29,"10,55 – 10,60",RADIOLOCAŢIE,1
30,"10,60 – 10,65",EXPLORAREA PĂMÂNTULUI PRIN SATELIT (PASIV),1
31,"10,60 – 10,65",FIX,1
32,"10,60 – 10,65",RADIOASTRONOMIE,1
33,"10,60 – 10,65",CERCETARE SPAŢIALĂ (PASIV),1
