,freqs,usess,value
0,"10,00 – 10,15","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ) 5.474A 5.474B 5.474C FIX
RADIOLOCAŢIE",1
1,"10,00 – 10,15",Mobil  ECA17A,1
2,"10,00 – 10,15",Amator,1
3,"10,00 – 10,15",5.474D 5.479 ECA36,1
4,"10,15 – 10,30",EXPLORAREA PĂMÂNTULUI PRIN SATELIT (activ),1
5,"10,15 – 10,30","5.474A 5.474B 5.474C
FIX",1
6,"10,15 – 10,30","RADIOLOCAŢIE
Mobil  ECA17A Amator",1
7,"10,15 – 10,30",5.474D 5.479,1
8,"10,30 – 10,40","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ) 5.474A 5.474B 5.474C FIX
RADIOLOCAŢIE",1
9,"10,30 – 10,40",Mobil  ECA17A,1
10,"10,30 – 10,40",Amator  ECA17,1
11,"10,30 – 10,40",5.474D 5.479,1
12,"10,30 – 10,40",ECA36,1
13,"10,40 – 10,45","FIX
RADIOLOCAŢIE
Amator
Mobil  ECA17A",1
14,"10,40 – 10,45",ECA36,1
15,"10,45 – 10,50","FIX
RADIOLOCAŢIE
Amator  ECA17
Amator prin satelit  ECA23",1
16,"10,45 – 10,50",Mobil  ECA17A,1
17,"10,45 – 10,50",5.481,1
18,"10,45 – 10,50",ECA36,1
19,"10,50 – 10,55",FIX,1
20,"10,50 – 10,55",Mobil  ECA17A,1
21,"10,50 – 10,55",Radiolocaţie,1
22,"10,55 – 10,60",FIX,1
23,"10,55 – 10,60","Mobil cu excepţia mobil
aeronautic  ECA17A
Radiolocaţie",1
24,"10,60 – 10,65","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)",1
25,"10,60 – 10,65",FIX,1
26,"10,60 – 10,65",RADIOASTRONOMIE,1
27,"10,60 – 10,65",CERCETARE SPAŢIALĂ (pasiv),1
28,"10,60 – 10,65","Mobil cu excepţia mobil
aeronautic  ECA17A",1
29,"10,60 – 10,65",Radiolocaţie,1
30,"10,60 – 10,65",5.149 5.482 5.482A,1
31,"10,65 – 10,68","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)",1
32,"10,65 – 10,68",FIX RADIOASTRONOMIE,1
33,"10,65 – 10,68",CERCETARE SPAŢIALĂ (pasiv),1
34,"10,65 – 10,68","Mobil cu excepţia mobil
aeronautic  ECA17A",1
35,"10,65 – 10,68",Radiolocaţie,1
36,"10,65 – 10,68",5.149 5.482 5.482A,1
37,"10,68 – 10,70","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)
RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)
5.340",1
38,"10,70 – 10,95","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.441   (Pământ–spaţiu)
5.484
MOBIL cu excepţia mobil
aeronautic",1
39,"10,70 – 10,95",Mobil prin satelit (spaţiu– Pământ),1
40,"10,95 – 11,20","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A 5.484B
(Pământ–spaţiu) 5.484
MOBIL cu excepţia mobil
aeronautic",1
41,"11,20 – 11,45","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.441 (Pământ–spaţiu)
5.484
MOBIL cu excepţia mobil
aeronautic",1
42,"11,45 – 11,70","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A 5.484B
(Pământ–spaţiu) 5.484
MOBIL cu excepţia mobil
aeronautic",1
43,"11,70 – 12,50","RADIODIFUZIUNE PRIN SATELIT  5.492
MOBIL cu excepţia mobil
aeronautic
5.487 5.487A ECA28",1
44,"12,50 – 12,75","FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A 5.484B
(Pământ–spaţiu)",1
45,"12,50 – 12,75",5.496,1
46,"12,75 – 13,25","FIX
FIX PRIN SATELIT (Pământ–
spaţiu) 5.441",1
47,"13,25 – 13,40","RADIONAVIGAŢIE
AERONAUTICĂ 5.497",1
48,"13,25 – 13,40","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)",1
49,"13,25 – 13,40",CERCETARE SPAŢIALĂ (activ),1
50,"13,25 – 13,40",5.498A,1
51,"13,25 – 13,40",ECA26,1
52,"13,40 – 13,65","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)",1
53,"13,40 – 13,65",FIX PRIN SATELIT (spaţiu– Pământ) 5.484A 5.484B,1
54,"13,40 – 13,65",RADIOLOCAŢIE,1
55,"13,40 – 13,65","CERCETARE SPAŢIALĂ
5.499C 5.499D",1
56,"13,40 – 13,65","5.501B
ECA26  ECA36",1
57,"13,65 – 13,75","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)
RADIOLOCAŢIE",1
58,"13,65 – 13,75","CERCETARE SPAŢIALĂ
5.501A",1
59,"13,65 – 13,75","5.501B
ECA26  ECA36",1
60,"13,75 – 14,00","FIX PRIN SATELIT (Pământ–
spaţiu) 5.484A
RADIOLOCAŢIE
Cercetare spaţială
5.501 5.502 5.503
ECA26  ECA36",1
61,"14,00 – 14,25",FIX PRIN SATELIT (Pământ– spaţiu) 5.457A 5.457B 5.484A 5.484B 5.506  5.506B,1
62,"14,00 – 14,25","Mobil prin satelit (Pământ– spaţiu) 5.504B 5.504C 5.506A
Cercetare spaţială",1
63,"14,00 – 14,25",5.504,1
64,"14,25 – 14,30",FIX PRIN SATELIT (Pământ– spaţiu) 5.457A 5.457B 5.484A 5.484B 5.506  5.506B,1
65,"14,25 – 14,30","Mobil prin satelit (Pământ– spaţiu) 5.506A 5.508A
Cercetare spaţială",1
66,"14,25 – 14,30",5.504,1
67,"14,30 – 14,40","FIX PRIN SATELIT (Pământ– spaţiu) 5.457A  5.457B  5.484A 5.484B 5.506  5.506B
Mobil prin satelit (Pământ– spaţiu) 5.504B 5.506A 5.509A",1
68,"14,40 – 14,466",FIX,1
69,"14,40 – 14,466",FIX PRIN SATELIT (Pământ– spaţiu) 5.457A  5.457B  5.484A 5.484B 5.506  5.506B,1
70,"14,40 – 14,466","Mobil prin satelit (Pământ– spaţiu) 5.504B 5.506A 5.509A
5.504A",1
71,"14,466 – 14,47",FIX,1
72,"14,466 – 14,47",FIX PRIN SATELIT (Pământ– spaţiu) 5.457A  5.457B  5.484A 5.484B 5.506  5.506B,1
73,"14,466 – 14,47","Mobil prin satelit (Pământ– spaţiu) 5.504B 5.506A 5.509A
5.504A ECA 20",1
74,"14,47 – 14,50","FIX
FIX PRIN SATELIT (Pământ– spaţiu) 5.457A  5.484A 5.506
Mobil prin satelit (Pământ– spaţiu) 5.504B 5.506A 5.509A
Radioastronomie 5.149 5.504A
ECA 20",1
75,"14,50 – 14,543","FIX
Radioastronomie ECA 20",1
76,"14,543 – 14,655","FIX
Radioastronomie ECA 20  ECA36",1
77,"14,655 – 14,75","FIX
Radioastronomie",1
78,"14,75 – 14,80","FIX
Radioastronomie",1
79,"14,80 – 14,956","FIX
Radioastronomie",1
80,"14,956 – 15,033","FIX
Radioastronomie ECA 20",1
81,"15,033 – 15,145","FIX
Radioastronomie ECA 20 ECA36",1
82,"15,145 – 15,35","FIX
Radioastronomie 5.339",1
83,"15,35 – 15,40","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (pasiv)",1
84,"15,35 – 15,40","RADIOASTRONOMIE
CERCETARE SPAŢIALĂ (pasiv)",1
85,"15,35 – 15,40",5.340,1
86,"15,40 – 15,43","RADIONAVIGAŢIE AERONAUTICĂ
RADIOLOCAȚIE 5.511E 5.511F",1
87,"15,43 – 15,63",RADIONAVIGAŢIE AERONAUTICĂ,1
88,"15,43 – 15,63","FIX PRIN SATELIT (Pământ–
spaţiu)  5.511A",1
89,"15,43 – 15,63",RADIOLOCAȚIE 5.511E 5.511F,1
90,"15,43 – 15,63",5.511C,1
91,"15,63 – 15,70","RADIONAVIGAŢIE AERONAUTICĂ
RADIOLOCAȚIE 5.511E 5.511F",1
92,"15,70 – 16,60","RADIOLOCAŢIE
ECA36",1
93,"16,60 – 17,10","RADIOLOCAŢIE
Cercetare spaţială (spaţiu îndepărtat) (Pământ–spaţiu)
ECA36",1
94,"17,10 – 17,20","RADIOLOCAŢIE
Mobil
ECA36",1
95,"17,20 – 17,30","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ) MOBIL
RADIOLOCAŢIE
CERCETARE SPAŢIALĂ (activ)
5.513A ECA36",1
96,"17,30 – 17,70","FIX PRIN SATELIT (Pământ–
spaţiu) 5.516  (spaţiu–Pământ)
5.516A  5.516B",1
97,"17,30 – 17,70","Radiolocaţie
ECA36",1
98,"17,70 – 17,8925","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A (Pământ– spaţiu) 5.516",1
99,"17,8925 – 18,10","FIX
FIX PRIN SATELIT (spaţiu–
Pământ) 5.484A (Pământ– spaţiu) 5.516",1
