"Banda de frecvenţe
(GHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Column1,Utilizări în România,Column2,Column3,Column4,Column5,Statut utilizare,Column6
"10,00 – 10,15","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ) 5.474A 5.474B 5.474C FIX
MOBIL","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ) 5.474A 5.474B 5.474C FIX
RADIOLOCAŢIE",,"PMSE (echipamente video portabile, camere video fără cordon, legături video temporare punct-la-punct) cu acord de frecvenţă în banda 10,0- 10,68 GHz",,,"ERC/REC 25–10
EN 302 064",,G(A)/NG,
,RADIOLOCAŢIE,Mobil  ECA17A,,Linii fixe unilaterale,,,EN 302 217,,,
,Amator,Amator,,"Amator (în banda 10-10,5 GHz)",,,EN 301 783,,,
,5.474D 5.479,5.474D 5.479 ECA36,,"Radiodeterminare (în banda 8,5–10,6
GHz pentru aplicaţii TLPR)",,,"ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)",,,
,,,,Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz) (Nota 8),,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,
,,,,Radiolocație (civilă),,,,,,
,,,,Radare cu sinteză de apertură,,,,,,
,,,,"Radiolocație (militară) Sisteme militare aeronautice Sisteme militare maritime
Sisteme militare terestre",,,,,,
,,,,,,,,,,
,,,,,,,,,,
"10,15 – 10,30","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ)",EXPLORAREA PĂMÂNTULUI PRIN SATELIT (activ),,Linii fixe,,,"ERC/REC 12–05
EN 302 217",,NG,
,"5.474A 5.474B 5.474C
FIX","5.474A 5.474B 5.474C
FIX",,FWA (inclusiv punct–multipunct),,,EN 302 326,,,
,"MOBIL
RADIOLOCAŢIE
Amator","RADIOLOCAŢIE
Mobil  ECA17A Amator",,"PMSE (echipamente video portabile, camere video fără cordon, legături video temporare punct-la-punct) cu acord de frecvenţă în banda 10,0- 10,68 GHz",,,"ERC/REC 25–10
EN 302 064",,,
,5.474D 5.479,5.474D 5.479,,"Amator (în banda 10-10,5 GHz)",,,EN 301 783,,,
,,,,"Radiodeterminare (în banda 8,5–10,6
GHz pentru aplicaţii TLPR)",,,"ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)",,,
,,,,Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz) (Nota 8),,,"ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,,
,,,,Radiolocație (civilă),,,,,,
,,,,Radare cu sinteză de apertură,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"10,30 – 10,40","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ) 5.474A 5.474B 5.474C FIX
MOBIL","EXPLORAREA PĂMÂNTULUI
PRIN SATELIT (activ) 5.474A 5.474B 5.474C FIX
RADIOLOCAŢIE",,"PMSE (echipamente video portabile, camere video fără cordon, legături video temporare punct-la-punct) cu acord de frecvenţă în banda 10,0- 10,68 GHz",,,"ERC/REC 25–10
EN 302 064
EN 301 783
ERC/REC 70–03
EN 302 372
Decizia 2009/381/CE (Nota 3)
ECC/DEC/(06)04 EN 302 065
Decizia 2007/131/CE (Nota 7)",,G(A)/NG,
,RADIOLOCAŢIE,Mobil  ECA17A,,"Amator (în banda 10-10,5 GHz)",,,,,,
,Amator,Amator  ECA17,,"Radiodeterminare (în banda 8,5–10,6
GHz pentru aplicaţii TLPR)",,,,,,
,5.474D 5.479,5.474D 5.479,,,,,,,,
,,ECA36,,,,,,,,
,,,,Aplicaţii de bandă ultralargă (UWB generic) (în banda 1600–10600 MHz) (Nota 8),,,,,,
,,,,Radiolocație (civilă),,,,,,
,,,,Radare cu sinteză de apertură,,,,,,
,,,,Radiolocație (militară) Sisteme militare aeronautice Sisteme militare maritime Sisteme militare terestre,,,,,,
,,,,,,,,,,
,,,,,,,,,,
