"Banda de frecvenţe
(kHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Utilizări în România,Column1,Column2,Column3,Column4,Column5,Column6,Statut utilizare,Column7
"0,00 – 8,30","NEATRIBUIT
5.53  5.54","NEATRIBUIT
5.53  5.54",NEATRIBUIT,,,NEATRIBUIT,,,,G(A)/NG,
"8,30 – 9,00","AUXILIAR METEOROLOGIC
5.54A  5.54B","AUXILIAR METEOROLOGIC
5.54A","Sisteme pentru detectarea
descărcărilor electrice",,,,,,,G(A)/NG,
"9,00 – 11,30",AUXILIAR METEOROLOGIC 5.54A,AUXILIAR METEOROLOGIC 5.54A,"Sisteme pentru detectarea
descărcărilor electrice",,,,,,,G(A)/NG,
,RADIONAVIGAȚIE,,,,,,,,,,
,,RADIONAVIGAȚIE,"Aplicaţii inductive (în banda 9–148,5 kHz)",,,"ERC/REC 70–03
EN 300 330
Decizia 2010/368/UE (Nota 4)",,,,,
,,,Implanturi medicale active (în banda 9–315 kHz),,,"ERC/REC 70–03
EN 302 195
Decizia 2008/432/CE (Nota 2)",,,,,
"11,30 – 14,00",RADIONAVIGAŢIE,RADIONAVIGAŢIE,"Aplicaţii inductive (în banda 9–148,5 kHz)",,,"ERC/REC 70–03
EN 300 330
Decizia 2010/368/UE (Nota 4)",,,,G(A)/NG,
,,,ISM,,,,,,,,
,,,Implanturi medicale active (în banda 9–315 kHz),,,"ERC/REC 70–03
EN 302 195
Decizia 2008/432/CE (Nota 2)",,,,,
"14,00 – 19,95","FIX
MOBIL MARITIM  5.57
5.55  5.56","FIX
MOBIL MARITIM  5.57
5.56","Aplicaţii inductive (în banda 9–148,5 kHz)
Sisteme militare terestre",,,"ERC/REC 70–03
EN 300 330
Decizia 2010/368/UE (Nota 4)",,,,G(A)/NG,
,,ECA36,Sisteme militare maritime,,,,,,,,
,,,Implanturi medicale active (în banda 9–315 kHz),,,"ERC/REC 70–03
EN 302 195
Decizia 2008/432/CE (Nota 2)",,,,,
"19,95 – 20,05","FRECVENŢE ETALON ŞI
SEMNALE ORARE (20 kHz)","FRECVENŢE ETALON ŞI
SEMNALE ORARE (20 kHz)","Aplicaţii inductive (în banda 9–148,5 kHz)",,,"ERC/REC 70–03
EN 300 330
Decizia 2010/368/UE (Nota 4)",,,,NG,
,,,Implanturi medicale active (în banda 9–315 kHz),,,"ERC/REC 70–03
EN 302 195
Decizia 2008/432/CE (Nota 2)",,,,,
