"Banda de frecvenţe
(MHz)","Atribuiri Regiunea 1 UIT şi
note subsol aplicabile CEPT",Atribuiri în România,Column1,Column2,Utilizări în România,Column3,Column4,Column5,Column6,Statut utilizare,Column7
"29,7000 – 30,0050",FIX MOBIL,MOBIL ECA36,,,Sisteme militare aeronautice Sisteme militare maritime Sisteme militare terestre ECA36,,,,,G(A)/G/NG,
,,,,,Sisteme guvernamentale,,,,,,
,,,,,"Implanturi medicale active (în banda 30,0-37,5 MHz)","ERC/REC 70-03
EN 302 510
Decizia 2010/368/UE (Nota 4)",,,,,
,,,,,"Aplicaţii inductive (în banda 148,5 kHz–30 MHz)","ERC REC 70-03
EN 300 330
Decizia 2008/432/CE (Nota 2)",,,,,
,,,,,"Radiomicrofoane (cu acord de frecvenţă în banda 29,7 – 30,3 MHz)","ERC REC 70-03
EN 300 422",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"30,0050 – 30,0100","FIX MOBIL
EXPLOATARE SPAȚIALĂ
(identificare sateliti)
CERCETARE SPAȚIALĂ",MOBIL ECA36,,,Sisteme militare aeronautice Sisteme militare terestre Sisteme militare maritime Sisteme militare prin satelit ECA36,,,,,G(A)/G/NG,
,,,,,Sisteme guvernamentale,,,,,,
,,,,,"Implanturi medicale active (în banda 30,0 – 37,5 MHz)","ERC/REC 70-03
EN 302 510
Decizia 2010/368/UE (Nota 4)",,,,,
,,,,,"Radiomicrofoane (cu acord de frecvenţă în banda 29,7 – 30,3 MHz)","ERC/REC 70-03
EN 300 422",,,,,
"30,0100 – 33,1000",FIX MOBIL,MOBIL ECA36,,,Sisteme militare aeronautice Sisteme militare terestre Sisteme militare maritime ECA36,,,,,G(A)/NG,
,,,,,"Implanturi medicale active (în banda 30,0 – 37,5 MHz)","ERC/REC 70-03
EN 302 510
Decizia 2010/368/UE (Nota 4)",,,,,
,,,,,"Radiomicrofoane (cu acord de frecvenţă în benzile 29,7-30,3 MHz, 30,5-32,15 MHz şi 32,45-
33,1 MHz)","ERC REC 70-03;
EN 300 422",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"33,1000 – 33,6000",,,,,PMR,"T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
,,,,,"Implanturi medicale active (în banda 30,0 – 37,5 MHz)","ERC/REC 70-03
EN 302 510
Decizia 2010/368/UE (Nota 4)",,,,,
"33,6000 – 34,9750",,,,,Sisteme militare aeronautice Sisteme militare terestre Sisteme militare maritime ECA36,,,,,G(A)/G/NG,
,,,,,Sisteme guvernamentale,,,,,,
,,,,,"Implanturi medicale active (în banda 30,0 – 37,5 MHz)","ERC/REC 70-03
EN 302 510
Decizia 2010/368/UE (Nota 4)",,,,,
,,,,,"Radiomicrofoane (cu acord de frecvenţă în banda 33,6-34,975 MHz)","ERC REC 70-03;
EN 300 422",,,,,
"34,9750 – 35,2500",,,,,PMR,"T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
,,,,,"Implanturi medicale active (în banda 30,0 – 37,5 MHz)","ERC/REC 70-03
EN 302 510
Decizia 2010/368/UE (Nota 4)",,,,,
,,,,,"Controlul modelelor
(in banda 34,995-35,225 MHz numai pentru aeromodele)","ERC DEC(01)11 ERC REC 70-03
EN 300 220",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"35,2500 – 36,8000",,,,,"Sisteme militare aeronautice Sisteme militare terestre Sisteme militare maritime ECA36
Sisteme guvernamentale","ERC/REC 70-03
EN 302 510
Decizia 2010/368/UE (Nota 4)",,,,G(A) / G,
,,,,,"Implanturi medicale active (în banda 30,0 – 37,5 MHz)",,,,,,
"36,8000 – 37,5000",,,,,PMR,"T/R 25-08
EN 300 086,  EN 300 113
EN 300 219,  EN 300 296
EN 300 341,  EN 300 390
EN 300 471,  EN 301 166
EN 302 561,  EN 303 039",,,,NG,
,,,,,"Implanturi medicale active (în banda 30,0 – 37,5 MHz)","ERC/REC 70-03
EN 302 510
Decizia 2010/368/UE (Nota 4)",,,,,
"37,5000 – 38,2500","FIX MOBIL
Radioastronomie 5.149","MOBIL
Radioastronomie 5.149
ECA36",,,"Sisteme militare aeronautice Sisteme militare terestre Sisteme militare maritimeECA36 Sisteme guvernamentale
Aplicaţii pentru radioastronomie (Măsurări in domeniul continuu)
Radiomicrofoane (cu acord de frecvenţă în banda 37,5-40,02 MHz)","ERC/REC 70-03
EN 300 422",,,,G(A)/G/NG,
"38,2500 – 39,0000",FIX MOBIL,MOBIL ECA36,,,"Sisteme militare aeronautice Sisteme militare terestre Sisteme militare maritime ECA36
Sisteme guvernamentale Radiomicrofoane (cu acord de
frecvenţă în banda 37,5-40,02
MHz)","ERC REC 70-03
EN 300 422",,,,G(A)/G/NG,
,,,,,,,,,,,
,,,,,,,,,,,
"39,0000-39,5000","FIX MOBIL
Radiolocație 5.132A
5.159",MOBlL ECA36,,,"Sisteme militare aeronautice Sisteme militare terestre Sisteme militare maritime ECA36
Sisteme guvernamentale
Aplicații utilizând dispersia meteorică (în banda 39,0-39,2 MHz)
Radiomicrofoane (cu acord de frecvenţă în banda 37,5-40,02 MHz)","ERC/REC/(00)04
ERC REC 70-03
EN 300 422",,,,G(A)/G/NG,
"39,5000-39,9860",FIX MOBIL,MOBIL ECA36,,,"Sisteme militare aeronautice Sisteme militare terestre Sisteme militare maritime ECA36
Sisteme guvernamentale Radiomicrofoane (cu acord de
frecvenţă în banda 37,5-40,02 MHz)","ERC REC 70-03
EN 300 422",,,,G(A)/G/NG,
"39,9860 – 40,0200","FIX MOBIL
Cercetare spațială","MOBIL
Cercetare spațială
ECA36",,,"Sisteme militare aeronautice Sisteme militare terestre Sisteme militare maritime ECA36
Sisteme guvernamentale Radiomicrofoane (cu acord de
frecvenţă în banda 37,5-40,02
MHz)","ERC/REC 70-03
EN 300 422",,,,G(A)/G/NG,
