,freqs,usess,value
0,"0,00 – 8,30",NEATRIBUIT,1
1,"8,30 – 9,00",AUXILIAR METEOROLOGIC,1
2,"9,00 – 11,30",AUXILIAR METEOROLOGIC,1
3,"9,00 – 11,30",RADIONAVIGAȚIE,1
4,"11,30 – 14,00",RADIONAVIGAŢIE,1
5,"14,00 – 19,95",FIX,1
6,"14,00 – 19,95",MOBIL MARITIM,1
7,"19,95 – 20,05",FRECVENŢE ETALON ŞI SEMNALE ORARE,1
8,"20,05 – 70,00",FIX,1
9,"20,05 – 70,00",MOBIL MARITIM,1
10,"70,00 – 72,00",RADIONAVIGAŢIE,1
11,"72,00 – 84,00",FIX,
12,"72,00 – 84,00",MOBIL MARITIM,1
13,"72,00 – 84,00",RADIONAVIGAŢIE,1
14,"84,00 – 86,00",RADIONAVIGAŢIE,1
15,"86,00 – 90,00",FIX,1
16,"86,00 – 90,00",MOBIL MARITIM,1
17,"86,00 – 90,00",RADIONAVIGAŢIE,1
18,"90,00 – 110,00",FIX,1
19,"90,00 – 110,00",RADIONAVIGAŢIE,1
20,"110,00 – 112,00",FIX,1
21,"110,00 – 112,00",MOBIL MARITIM,1
22,"110,00 – 112,00",RADIONAVIGAŢIE,1
23,"112,00 – 115,00",RADIONAVIGAŢIE,1
24,"115,00 – 117,60",FIX,1
25,"115,00 – 117,60",RADIONAVIGAŢIE,1
26,"115,00 – 117,60",MOBIL MARITIM,1
27,"117,60 – 126,00",FIX,1
28,"117,60 – 126,00",MOBIL MARITIM,1
29,"117,60 – 126,00",RADIONAVIGAŢIE,1
30,"126,00 – 129,00",RADIONAVIGAŢIE,1
31,"129,00 – 130,00",FIX,1
32,"129,00 – 130,00",MOBIL MARITIM,1
33,"129,00 – 130,00",RADIONAVIGAŢIE,1
34,"130,00 – 135,70",FIX,1
35,"130,00 – 135,70",MOBIL MARITIM,1
36,"135,70 – 137,80",FIX,1
37,"135,70 – 137,80",MOBIL MARITIM,1
38,"135,70 – 137,80",AMATOR,1
39,"137,80 – 148,50",FIX,1
40,"137,80 – 148,50",MOBIL MARITIM,1
41,"148,50 – 255,00",RADIODIFUZIUNE,1
42,"255,00 – 283,50",RADIODIFUZIUNE,1
43,"255,00 – 283,50",RADIONAVIGAŢIE AERONAUTICĂ,1
44,"283,50 – 315,00",RADIONAVIGAŢIE AERONAUTICĂ,1
45,"283,50 – 315,00",RADIONAVIGAŢIE MARITIMĂ (RADIOFARURI),1
46,"315,00 – 325,00",RADIONAVIGAŢIE AERONAUTICĂ,1
47,"315,00 – 325,00",RADIONAVIGAŢIE MARITIMĂ (RADIOFARURI),1
48,"325,00 – 405,00",RADIONAVIGAŢIE AERONAUTICĂ,1
49,"405,00 – 415,00",RADIONAVIGAŢIE,1
50,"415,00 – 435,00",RADIONAVIGAŢIE AERONAUTICĂ,1
51,"415,00 – 435,00",MOBIL MARITIM,1
52,"435,00 – 472,00",MOBIL MARITIM,1
53,"435,00 – 472,00",RADIONAVIGAȚIE AERONAUTICĂ,1
54,"472,00 – 479,00",MOBIL MARITIM,1
55,"472,00 – 479,00",RADIONAVIGAȚIE AERONAUTICĂ,1
56,"472,00 – 479,00",AMATOR,1
57,"479,00 – 495,00",MOBIL MARITIM,1
58,"479,00 – 495,00",RADIONAVIGAȚIE AERONAUTICĂ,1
59,"495,00 – 505,00",MOBIL,1
60,"505,00 – 526,50",MOBIL MARITIM,1
61,"505,00 – 526,50",RADIONAVIGAŢIE AERONAUTICĂ,1
62,"526,50 – 1606,50",RADIODIFUZIUNE,1
63,"1606,50 – 1625,00",FIX,1
64,"1606,50 – 1625,00",MOBIL TERESTRU,1
65,"1606,50 – 1625,00",MOBIL MARITIM,1
66,"1606,50 – 1625,00",RADIOLOCAȚIE,1
67,"1625,00 – 1635,00",RADIOLOCAŢIE,1
68,"1635,00 – 1800,00",FIX,1
69,"1635,00 – 1800,00",MOBIL TERESTRU,1
70,"1635,00 – 1800,00",MOBIL MARITIM,1
71,"1800,00 – 1810,00",RADIOLOCAŢIE,1
72,"1810,00 – 1830,00",AMATOR,1
73,"1810,00 – 1830,00",FIX,1
74,"1810,00 – 1830,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC,1
75,"1830,00 – 1850,00",AMATOR,1
76,"1850,00 – 2000,00",FIX,1
77,"1850,00 – 2000,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC,1
78,"2000,00 – 2025,00",FIX,1
79,"2000,00 – 2025,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC (R),1
80,"2025,00 – 2045,00",FIX,1
81,"2025,00 – 2045,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC (R),1
82,"2025,00 – 2045,00",AUXILIAR METEOROLOGIC,1
83,"2045,00 – 2160,00",FIX,1
84,"2045,00 – 2160,00",MOBIL TERESTRU,1
85,"2045,00 – 2160,00",MOBIL MARITIM,1
86,"2160,00 – 2170,00",RADIOLOCAŢIE,1
87,"2170,00 – 2173,50",MOBIL MARITIM,1
88,"2173,50 – 2190,50",MOBIL (PRIMEJDIE ŞI APEL),1
89,"2190,50 – 2194,00",MOBIL MARITIM,1
90,"2194,00 – 2300,00",FIX,1
91,"2194,00 – 2300,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC (R),1
92,"2300,00 – 2498,00",FIX,1
93,"2300,00 – 2498,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC (R),1
94,"2498,00 – 2501,00",FRECVENŢE ETALON ŞI SEMNALE ORARE,1
95,"2501,00 – 2502,00",FRECVENŢE ETALON ŞI SEMNALE ORARE,1
96,"2501,00 – 2502,00",CERCETARE SPAŢIALĂ,1
97,"2502,00 – 2625,00",FIX,1
98,"2502,00 – 2625,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC (R),1
99,"2625,00 – 2650,00",MOBIL MARITIM,1
100,"2625,00 – 2650,00",RADIONAVIGAŢIE MARITIMĂ,1
101,"2650,00 – 2850,00",FIX,1
102,"2650,00 – 2850,00",MOBIL CU EXCEPŢIA MOBIL AERONAUTIC (R),1
