,freqs,usess,value
0,"0,00 – 8,30","NEATRIBUIT
5.53  5.54",1
1,"8,30 – 9,00","AUXILIAR METEOROLOGIC
5.54A",1
2,"9,00 – 11,30",AUXILIAR METEOROLOGIC 5.54A,1
3,"9,00 – 11,30",RADIONAVIGAȚIE,1
4,"11,30 – 14,00",RADIONAVIGAŢIE,1
5,"14,00 – 19,95","FIX
MOBIL MARITIM  5.57
5.56",1
6,"14,00 – 19,95",ECA36,1
7,"19,95 – 20,05","FRECVENŢE ETALON ŞI
SEMNALE ORARE (20 kHz)",1
8,"20,05 – 70,00","FIX
MOBIL MARITIM  5.57
5.56",1
9,"20,05 – 70,00",ECA36,1
10,"70,00 – 72,00",RADIONAVIGAŢIE  5.60,1
11,"70,00 – 72,00",ECA36,1
12,"72,00 – 84,00","FIX
MOBIL MARITIM  5.57",1
13,"72,00 – 84,00",RADIONAVIGAŢIE  5.60,1
14,"72,00 – 84,00",5.56,1
15,"72,00 – 84,00",ECA36,1
16,"84,00 – 86,00",RADIONAVIGAŢIE  5.60,1
17,"84,00 – 86,00",ECA36,1
18,"86,00 – 90,00","FIX
MOBIL MARITIM  5.57",1
19,"86,00 – 90,00",RADIONAVIGAŢIE,1
20,"86,00 – 90,00","5.56
ECA36",1
21,"90,00 – 110,00","RADIONAVIGAŢIE  5.62
Fix",1
22,"90,00 – 110,00",5.64,1
23,"90,00 – 110,00",ECA36,1
24,"110,00 – 112,00","FIX
MOBIL MARITIM",1
25,"110,00 – 112,00",RADIONAVIGAŢIE,1
26,"110,00 – 112,00","5.64
ECA36",1
27,"112,00 – 115,00",RADIONAVIGAŢIE  5.60,1
28,"112,00 – 115,00",ECA36,1
29,"115,00 – 117,60","RADIONAVIGAŢIE  5.60
Fix",1
30,"115,00 – 117,60",Mobil maritim,1
31,"115,00 – 117,60","5.64
ECA36",1
32,"117,60 – 126,00","FIX
MOBIL MARITIM",1
33,"117,60 – 126,00",RADIONAVIGAŢIE  5.60,1
34,"117,60 – 126,00","5.64
ECA36",1
35,"126,00 – 129,00",RADIONAVIGAŢIE  5.60,1
36,"126,00 – 129,00",ECA36,1
37,"129,00 – 130,00","FIX
MOBIL MARITIM",1
38,"129,00 – 130,00",RADIONAVIGAŢIE  5.60,1
39,"129,00 – 130,00","5.64
ECA36",1
40,"130,00 – 135,70","FIX
MOBIL MARITIM
5.64",1
41,"130,00 – 135,70",ECA36,1
42,"135,70 – 137,80",FIX,1
43,"135,70 – 137,80","MOBIL MARITIM
Amator  5.67A",1
44,"135,70 – 137,80","5.64
ECA36",1
45,"137,80 – 148,50","FIX
MOBIL MARITIM
5.64",1
46,"137,80 – 148,50",ECA36,1
47,"148,50 – 255,00",RADIODIFUZIUNE,1
48,"255,00 – 283,50","RADIODIFUZIUNE
RADIONAVIGAŢIE AERONAUTICĂ
ECA36",1
49,"283,50 – 315,00",RADIONAVIGAŢIE AERONAUTICĂ,1
50,"283,50 – 315,00","RADIONAVIGAŢIE MARITIMĂ
(radiofaruri) 5.73",1
51,"283,50 – 315,00","5.74
ECA36",1
52,"315,00 – 325,00",RADIONAVIGAŢIE AERONAUTICĂ,1
53,"315,00 – 325,00","Radionavigaţie maritimă
(radiofaruri) 5.73",1
54,"315,00 – 325,00",ECA36,1
55,"325,00 – 405,00",RADIONAVIGAŢIE AERONAUTICĂ,1
56,"325,00 – 405,00",ECA36,1
57,"405,00 – 415,00",RADIONAVIGAŢIE  5.76,1
58,"405,00 – 415,00",ECA36,1
59,"415,00 – 435,00",RADIONAVIGAŢIE AERONAUTICĂ,1
60,"415,00 – 435,00","MOBIL MARITIM  5.79
ECA36",1
61,"435,00 – 472,00","MOBIL MARITIM  5.79
Radionavigaţie aeronautică
5.82",1
62,"435,00 – 472,00",ECA36,1
63,"472,00 – 479,00",MOBIL MARITIM  5.79 5.79A,1
64,"472,00 – 479,00","Radionavigaţie aeronautică
Amator 5.80A",1
65,"472,00 – 479,00","5.80B ECA36
5.82",1
66,"479,00 – 495,00","MOBIL MARITIM  5.79 5.79A
Radionavigaţie aeronautică
5.77
5.82",1
67,"495,00 – 505,00",MOBIL ECA39,1
68,"505,00 – 526,50",MOBIL MARITIM  5.79  5.79A 5.84,1
69,"505,00 – 526,50",RADIONAVIGAŢIE AERONAUTICĂ,1
70,"505,00 – 526,50",ECA36,1
71,"526,50 – 1606,50",RADIODIFUZIUNE,1
72,"1606,50 – 1625,00","FIX
MOBIL TERESTRU",1
73,"1606,50 – 1625,00","MOBIL MARITIM  5.90
Radiolocație",1
74,"1606,50 – 1625,00",ECA36,1
75,"1625,00 – 1635,00",RADIOLOCAŢIE,1
76,"1625,00 – 1635,00",5.93,1
77,"1625,00 – 1635,00",ECA36,1
78,"1635,00 – 1800,00","FIX
MOBIL TERESTRU",1
79,"1635,00 – 1800,00",MOBIL MARITIM  5.90,1
80,"1635,00 – 1800,00","5.96
ECA36",1
81,"1800,00 – 1810,00",RADIOLOCAŢIE,1
82,"1800,00 – 1810,00",5.93,1
83,"1800,00 – 1810,00",ECA36,1
84,"1810,00 – 1830,00",AMATOR,1
85,"1810,00 – 1830,00","FIX
MOBIL cu excepţia mobil
aeronautic",1
86,"1810,00 – 1830,00",5.98  5.100,1
87,"1830,00 – 1850,00",AMATOR,1
88,"1830,00 – 1850,00",5.98 5.100,1
89,"1850,00 – 2000,00",FIX,1
90,"1850,00 – 2000,00","MOBIL cu excepţia mobil
aeronautic",1
91,"1850,00 – 2000,00",5.92  5.96  5.103,1
92,"1850,00 – 2000,00",ECA36,1
93,"2000,00 – 2025,00",FIX,1
94,"2000,00 – 2025,00","MOBIL cu excepţia mobil
aeronautic (R)
5.103",1
95,"2000,00 – 2025,00",ECA36,1
96,"2025,00 – 2045,00",FIX,1
97,"2025,00 – 2045,00","MOBIL cu excepţia mobil
aeronautic (R)
Auxiliar meteorologic  5.104",1
98,"2025,00 – 2045,00","5.92  5.103
ECA36",1
99,"2045,00 – 2160,00","FIX
MOBIL TERESTRU",1
100,"2045,00 – 2160,00",MOBIL MARITIM,1
101,"2045,00 – 2160,00",5.92,1
102,"2045,00 – 2160,00",ECA 36,1
103,"2160,00 – 2170,00",RADIOLOCAŢIE,1
104,"2160,00 – 2170,00",5.93,1
105,"2160,00 – 2170,00",ECA36,1
106,"2170,00 – 2173,50",MOBIL MARITIM,1
107,"2170,00 – 2173,50",ECA36,1
108,"2173,50 – 2190,50",MOBIL (primejdie şi apel),1
109,"2173,50 – 2190,50","5.108  5.109  5.110  5.111
ECA36",1
110,"2190,50 – 2194,00",MOBIL MARITIM,1
111,"2190,50 – 2194,00",ECA36,1
112,"2194,00 – 2300,00",FIX,1
113,"2194,00 – 2300,00","MOBIL cu excepţia mobil
aeronautic (R)",1
114,"2194,00 – 2300,00","5.103
ECA36",1
115,"2300,00 – 2498,00",FIX,1
116,"2300,00 – 2498,00","MOBIL cu excepţia mobil
aeronautic (R)
5.103",1
117,"2300,00 – 2498,00",ECA36,1
118,"2498,00 – 2501,00","FRECVENŢE ETALON ŞI
SEMNALE ORARE (2500 kHz)",1
119,"2501,00 – 2502,00","FRECVENŢE ETALON ŞI
SEMNALE ORARE
Cercetare spaţială",1
120,"2502,00 – 2625,00","FIX
MOBIL cu excepţia mobil
aeronautic (R)",1
121,"2502,00 – 2625,00","5.92 5.103
ECA36",1
122,"2625,00 – 2650,00",MOBIL MARITIM,1
123,"2625,00 – 2650,00","RADIONAVIGAŢIE MARITIMĂ
5.92
ECA36",1
124,"2650,00 – 2850,00","FIX
MOBIL cu excepţia mobil
aeronautic (R)",1
125,"2650,00 – 2850,00",5.92 5.103,1
126,"2850,00 – 3025,00",MOBIL AERONAUTIC (R),1
127,"2850,00 – 3025,00","5.111  5.115
ECA36",1
128,"3025,00 – 3155,00",MOBIL AERONAUTIC (OR),1
129,"3025,00 – 3155,00",ECA36,1
130,"3155,00 – 3200,00","FIX
MOBIL cu excepţia mobil
aeronautic (R)",1
131,"3155,00 – 3200,00","5.116
ECA36",1
132,"3200,00 – 3230,00","FIX
MOBIL cu excepţia mobil
aeronautic (R)",1
133,"3200,00 – 3230,00","5.116
ECA36",1
134,"3230,00 – 3400,00","FIX
MOBIL cu excepţia mobil
aeronautic",1
135,"3230,00 – 3400,00","5.116
ECA36",1
136,"3400,00 – 3500,00","MOBIL AERONAUTIC (R)
ECA36",1
137,"3500,00 – 3800,00",AMATOR,1
138,"3500,00 – 3800,00","FIX
MOBIL cu excepţia mobil
aeronautic",1
139,"3500,00 – 3800,00",5.92,1
140,"3500,00 – 3800,00",ECA36,1
141,"3800,00 – 3900,00","MOBIL AERONAUTIC (OR)
FIX",1
142,"3800,00 – 3900,00","MOBIL TERESTRU
ECA36",1
143,"3900,00 – 3950,00","MOBIL AERONAUTIC (OR)
ECA36",1
144,"3950,00 – 4000,00","FIX
RADIODIFUZIUNE",1
145,"3950,00 – 4000,00",ECA36,1
146,"4000,00 – 4063,00","FIX
MOBIL MARITIM  5.127",1
147,"4000,00 – 4063,00",ECA36,1
148,"4063,00 – 4438,00",MOBIL MARITIM  5.79A  5.109 5.110  5.130  5.131  5.132,1
149,"4063,00 – 4438,00",ECA36,1
150,"4438,00 – 4488,00","FIX
MOBIL cu excepţia mobil
aeronautic (R)
Radiolocație 5.132A",1
151,"4438,00 – 4488,00",ECA36,1
152,"4488,00 – 4650,00","FIX
MOBIL cu excepţia mobil
aeronautic (R)",1
153,"4488,00 – 4650,00",ECA36,1
154,"4650,00 – 4700,00","MOBIL AERONAUTIC (R)
ECA36",1
155,"4700,00 – 4750,00",MOBIL AERONAUTIC (OR),1
156,"4700,00 – 4750,00",ECA36,1
157,"4750,00 – 4850,00",MOBIL AERONAUTIC (OR),1
158,"4750,00 – 4850,00","FIX
MOBIL TERESTRU
ECA36",1
159,"4850,00 – 4995,00","FIX
MOBIL TERESTRU
ECA36",1
160,"4995,00 – 5003,00","FRECVENŢE ETALON ŞI
SEMNALE ORARE (5000 kHz)",1
161,"5003,00 – 5005,00","FRECVENŢE ETALON ŞI
SEMNALE ORARE
Cercetare spaţială",1
162,"5005,00 – 5060,00","FIX
ECA36",1
163,"5060,00 – 5250,00","FIX
Mobil cu excepţia mobil
aeronautic",1
164,"5060,00 – 5250,00",ECA36,1
165,"5250,00 – 5275,00","FIX
MOBIL cu excepţia mobil
aeronautic
Radiolocație 5.132A",1
166,"5250,00 – 5275,00",ECA36,1
167,"5275,00 – 5351,50","FIX
MOBIL cu excepţia mobil
aeronautic",1
168,"5275,00 – 5351,50",ECA36,1
169,"5351,50 – 5366,50",FIX,1
170,"5351,50 – 5366,50","MOBIL cu excepţia mobil
aeronautic Amator 5.133B",1
171,"5351,50 – 5366,50",ECA36,1
172,"5366,50 – 5450,00","FIX
MOBIL cu excepţia mobil
aeronautic",1
173,"5366,50 – 5450,00",ECA36,1
174,"5450,00 – 5480,00",FIX,1
175,"5450,00 – 5480,00","MOBIL AERONAUTIC (OR) MOBIL TERESTRU
ECA36",1
176,"5480,00 – 5680,00","MOBIL AERONAUTIC (R)
5.111  5.115",1
177,"5480,00 – 5680,00",ECA36,1
178,"5680,00 – 5730,00",MOBIL AERONAUTIC (OR),1
179,"5680,00 – 5730,00","5.111  5.115
ECA36",1
180,"5730,00 – 5900,00","FIX
MOBIL TERESTRU
ECA36",1
181,"5900,00 – 5950,00","RADIODIFUZIUNE  5.134
5.136",1
182,"5950,00 – 6200,00",RADIODIFUZIUNE,1
183,"6200,00 – 6525,00","MOBIL MARITIM  5.109  5.110
5.130  5.132",1
184,"6200,00 – 6525,00","5.137
ECA36",1
185,"6525,00 – 6685,00","MOBIL AERONAUTIC (R)
ECA36",1
186,"6685,00 – 6765,00",MOBIL AERONAUTIC (OR),1
187,"6685,00 – 6765,00",ECA36,1
188,"6765,00 – 6795,00","FIX
MOBIL cu excepţia mobil
aeronautic",1
