,freqs,usess,value
0,"29,7000 – 30,0050",MOBIL,1
1,"30,0050 – 30,0100",MOBIL,1
2,"30,0100 – 33,1000",MOBIL,1
3,"33,1000 – 33,6000",MOBIL,1
4,"33,6000 – 34,9750",MOBIL,1
5,"34,9750 – 35,2500",MOBIL,1
6,"35,2500 – 36,8000",MOBIL,1
7,"36,8000 – 37,5000",MOBIL,1
8,"37,5000 – 38,2500",MOBIL,1
9,"37,5000 – 38,2500",RADIOASTRONOMIE,1
10,"38,2500 – 39,0000",MOBIL,1
11,"39,0000-39,5000",MOBIL,1
12,"39,5000-39,9860",MOBIL,1
13,"39,9860 – 40,0200",MOBIL,1
14,"39,9860 – 40,0200",CERCETARE SPAȚIALĂ,1
15,"40,0200 – 40,3000",MOBIL,1
16,"40,3000 – 40,6600",MOBIL,1
17,"40,6600 – 40,7000",MOBIL,1
18,"40,7000 – 40,9800",MOBIL,1
19,"40,9800 – 41,0150",MOBIL,1
20,"40,9800 – 41,0150",CERCETARE SPAȚIALĂ,1
21,"41,0150 – 42,0000",MOBIL,1
22,"42,0000 – 42,5000",FIX,1
23,"42,0000 – 42,5000",MOBIL,1
24,"42,5000 – 44,0000",MOBIL,1
25,"44,0000 – 44,5000",MOBIL,1
26,"44,5000 – 45,2000",MOBIL,1
27,"45,2000 – 46,4000",MOBIL,1
28,"46,4000 – 47,0000",MOBIL,1
29,"47,0000 – 48,0000",MOBIL TERESTRU,1
30,"48,0000 – 49,0000",MOBIL TERESTRU,1
31,"49,0000 – 50,0000",MOBIL TERESTRU,1
32,"50,0000 – 52,0000",MOBIL TERESTRU,1
33,"50,0000 – 52,0000",AMATOR,1
34,"52,0000 – 54,0000",MOBIL TERESTRU,1
35,"54,0000 –54,5000",MOBIL TERESTRU,1
36,"54,5000 – 61,0000",MOBIL TERESTRU,1
37,"61,0000 – 61,5000",MOBIL TERESTRU,1
38,"61,5000 – 68,0000",MOBIL TERESTRU,1
39,"68,0000 – 70,4500",MOBIL,1
40,"68,0000 – 70,4500",AMATOR,1
41,"70,4500 – 72,0000",MOBIL CU EXCEPTIA MOBIL AERONAUTIC,1
42,"70,4500 – 72,0000",RADIOASTRONOMIE,1
43,"72,0000 – 73,0000",MOBIL CU EXCEPTIA MOBIL AERONAUTIC,1
44,"72,0000 – 73,0000",RADIOASTRONOMIE,1
45,"73,0000 – 73,3000",MOBIL CU EXCEPTIA MOBIL AERONAUTIC,1
46,"73,0000 – 73,3000",RADIOASTRONOMIE,1
47,"73,3000 – 74,1000",MOBIL CU EXCEPTIA MOBIL AERONAUTIC,1
48,"73,3000 – 74,1000",RADIOASTRONOMIE,1
49,"74,1000 – 74,8000",MOBIL CU EXCEPTIA MOBIL AERONAUTIC,1
50,"74,1000 – 74,8000",RADIOASTRONOMIE,1
51,"74,8000 – 75.2000",RADIONAVIGATIE AERONAUTICA,1
52,"75.2000 – 76,0000",MOBIL,1
53,"76,0000 -77,8000",MOBIL,1
54,"77,8000 – 79,0000",MOBIL,1
55,"79,0000 – 79,7000",MOBIL,1
56,"79,7000 – 84,6000",MOBIL,1
57,"84,6000 – 85,0000",MOBIL,1
58,"85,0000 – 85,8000",MOBIL,1
59,"85,8000 – 87,5000",MOBIL,1
60,"87,5000 – 100,0000",RADIODIFUZIUNE,1
61,"100,0000 – 108,0000",RADIODIFUZIUNE,1
62,"108,0000 – 117,9750",RADIONAVIGAȚIE AERONAUTICĂ,1
63,"108,0000 – 117,9750",MOBIL AERONAUTIC (R),1
64,"117,9750 – 121,4500",MOBIL AERONAUTIC (R),1
65,"121,4500 – 121,5500",MOBIL AERONAUTIC (R),1
66,"121,5500 – 136,0000","MOBIL AERONAUTIC (R), (OR)",1
67,"136,0000 – 137,0000",MOBIL AERONAUTIC (R),1
68,"137,0000 – 137,0250",METEOROLOGIC PRIN SATELIT (SPAȚIU-PĂMÂNT),1
69,"137,0000 – 137,0250",MOBIL,1
70,"137,0000 – 137,0250",MOBIL PRIN SATELIT (SPAȚIU-PĂMÂNT),1
71,"137,0000 – 137,0250",EXPLOATARE SPAȚIALĂ (SPAȚIU-PĂMÂNT),1
72,"137,0000 – 137,0250",CERCETARE SPAȚIALĂ (SPAȚIU-PĂMÂNT),1
73,"137,0250- 137,1750",METEOROLOGIC PRIN SATELIT (SPAȚIU-PĂMÂNT),1
74,"137,0250- 137,1750",MOBIL,1
75,"137,0250- 137,1750",MOBIL PRIN SATELIT (SPAȚIU-PĂMÂNT),1
76,"137,0250- 137,1750",EXPLOATARE SPAȚIALĂ (SPAȚIU-PĂMÂNT),1
77,"137,0250- 137,1750",CERCETARE SPAȚIALĂ (SPAȚIU-PĂMÂNT),1
78,"137,1750 – 137,8250",METEOROLOGIC PRIN SATELIT (SPAȚIU-PĂMÂNT),1
79,"137,1750 – 137,8250",MOBIL,1
80,"137,1750 – 137,8250",MOBIL PRIN SATELIT (SPAȚIU-PĂMÂNT),1
81,"137,1750 – 137,8250",EXPLOATARE SPAȚIALĂ (SPAȚIU-PĂMÂNT),1
82,"137,1750 – 137,8250",CERCETARE SPAȚIALĂ (SPAȚIU-PĂMÂNT),1
83,"137,8250 – 138,0000",METEOROLOGIC PRIN SATELIT (SPAȚIU-PĂMÂNT),1
84,"137,8250 – 138,0000",MOBIL,1
85,"137,8250 – 138,0000",MOBIL PRIN SATELIT (SPAȚIU-PĂMÂNT),1
86,"137,8250 – 138,0000",EXPLOATARE SPAȚIALĂ (SPAȚIU-PĂMÂNT),1
87,"137,8250 – 138,0000",CERCETARE SPAȚIALĂ (SPAȚIU-PĂMÂNT),1
88,"138,0000 – 143,6000",MOBIL AERONAUTIC (OR),1
89,"138,0000 – 143,6000",MOBIL TERESTRU,1
90,"138,0000 – 143,6000",CERCETARE SPAȚIALĂ (SPAȚIU-PĂMÂNT),1
91,"143,6000 – 143,6500",MOBIL AERONAUTIC (OR),1
92,"143,6000 – 143,6500",MOBIL TERESTRU,1
93,"143,6000 – 143,6500",CERCETARE SPAȚIALĂ (SPAȚIU-PĂMÂNT),1
94,"143,6500 – 144,0000",MOBIL AERONAUTIC (OR),1
95,"143,6500 – 144,0000",MOBIL TERESTRU,1
96,"144,0000 – 146,0000",AMATOR,1
97,"144,0000 – 146,0000",AMATOR PRIN SATELIT,1
98,"146,0000 – 146,8000",MOBIL,1
99,"146,8000 – 148,0000",MOBIL,1
100,"148,0000 – 149,0000",MOBIL,1
101,"148,0000 – 149,0000",MOBIL PRIN SATELIT (PAMÂNT-SPAȚIU),1
102,"149,0000-149,5500",MOBIL,1
103,"149,0000-149,5500",MOBIL PRIN SATELIT (PAMÂNT-SPATIU),1
104,"149,5500-149,8000",MOBIL,1
105,"149,5500-149,8000",MOBIL PRIN SATELIT (PAMÂNT-SPATIU),1
106,"149,8000-149,9000",MOBIL,1
107,"149,8000-149,9000",MOBIL PRIN SATELIT (PAMÂNT-SPATIU),1
108,"149,9000 – 150,0500",MOBIL,1
109,"149,9000 – 150,0500",MOBIL PRIN SATELIT (PAMÂNT-SPATIU),1
110,"150,0500 – 152,8500",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
111,"150,0500 – 152,8500",RADIOASTRONOMIE,1
112,"152,8500-152,9500",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
113,"152,8500-152,9500",RADIOASTRONOMIE,1
114,"152,9500 - 153,0000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC,1
115,"152,9500 - 153,0000",RADIOASTRONOMIE,1
116,"153,0000 - 153,2500",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC (R),1
117,"153,2500 – 154,0000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC (R),1
118,"154,0000 – 154,1000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC (R),1
119,"154,1000 - 154,4500",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC (R),1
120,"154,4500 - 154,850",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC (R),1
121,"154,8500 – 155,1000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC (R),1
122,"155,1000 – 155,4000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC (R),1
123,"155,4000 – 155,6000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC (R),1
124,"155,6000 – 156,0000",MOBIL CU EXCEPȚIA MOBIL AERONAUTIC (R),1
