,freqs,usess,value
0,"29,7000 – 30,0050",MOBIL ECA36,1
1,"30,0050 – 30,0100",MOBIL ECA36,1
2,"30,0100 – 33,1000",MOBIL ECA36,1
3,"33,1000 – 33,6000",nan,1
4,"33,6000 – 34,9750",nan,1
5,"34,9750 – 35,2500",nan,1
6,"35,2500 – 36,8000",nan,1
7,"36,8000 – 37,5000",nan,1
8,"37,5000 – 38,2500","MOBIL
Radioastronomie 5.149
ECA36",1
9,"38,2500 – 39,0000",MOBIL ECA36,1
10,"39,0000-39,5000",MOBlL ECA36,1
11,"39,5000-39,9860",MOBIL ECA36,1
12,"39,9860 – 40,0200","MOBIL
Cercetare spațială
ECA36",1
13,"40,0200 – 40,3000",MOBIL ECA36,1
14,"40,3000 – 40,6600",nan,1
15,"40,6600 – 40,7000",MOBIL,1
16,"40,6600 – 40,7000",5.150,1
17,"40,7000 – 40,9800",MOBIL,1
18,"40,9800 – 41,0150",MOBIL,1
19,"40,9800 – 41,0150",Cercetare spațială,1
20,"41,0150 – 42,0000",MOBIL,1
21,"41,0150 – 42,0000",ECA36,1
22,"42,0000 – 42,5000",FIX,1
23,"42,0000 – 42,5000",MOBIL,1
24,"42,0000 – 42,5000",5.161B,1
25,"42,0000 – 42,5000",ECA36,1
26,"42,5000 – 44,0000",MOBIL,1
27,"42,5000 – 44,0000",ECA36,1
28,"44,0000 – 44,5000",MOBIL 5.162A ECA36,1
29,"44,5000 – 45,2000",nan,1
30,"45,2000 – 46,4000",nan,1
31,"46,4000 – 47,0000",nan,1
32,"47,0000 – 48,0000","MOBIL TERESTRU
5.162A",1
33,"47,0000 – 48,0000","5.164
ECA36",1
34,"48,0000 – 49,0000",nan,1
35,"49,0000 – 50,0000",nan,1
36,"50,0000 – 52,0000",MOBIL TERESTRU,1
37,"50,0000 – 52,0000","Amator 5.162A
5.164",1
38,"50,0000 – 52,0000",ECA36,1
39,"52,0000 – 54,0000",MOBIL TERESTRU,1
40,"52,0000 – 54,0000",5.162A,1
41,"52,0000 – 54,0000",5.163,1
42,"52,0000 – 54,0000",5.164,1
43,"52,0000 – 54,0000",ECA36,1
44,"54,0000 –54,5000",nan,1
45,"54,5000 – 61,0000",nan,1
46,"61,0000 – 61,5000",nan,1
47,"61,5000 – 68,0000",nan,1
48,"68,0000 – 70,4500","MOBIL
Amator ECA9 5.175
ECA36",1
49,"70,4500 – 72,0000","MOBIL cu exceptia mobil aeronautic
Radioastronomie 5.149
ECA36",1
50,"72,0000 – 73,0000",nan,1
51,"73,0000 – 73,3000",nan,1
52,"73,3000 – 74,1000",nan,1
53,"74,1000 – 74,8000",nan,1
54,"74,8000 – 75.2000","RADIONAVIGATIE AERONAUTICA
5.180",1
55,"75.2000 – 76,0000","MOBIL 5.175
5.179
5.187
ECA36",1
56,"76,0000 -77,8000",nan,1
57,"77,8000 – 79,0000",nan,1
58,"79,0000 – 79,7000",nan,1
59,"79,7000 – 84,6000",nan,1
60,"84,6000 – 85,0000","MOBIL 5.175
5.179
5.187
ECA36",1
61,"85,0000 – 85,8000",nan,1
62,"85,8000 – 87,5000",nan,1
63,"87,5000 – 100,0000",RADIODIFUZIUNE,1
64,"100,0000 – 108,0000",RADIODIFUZIUNE,1
65,"108,0000 – 117,9750","RADIONAVIGAȚIE AERONAUTICĂ
MOBIL AERONAUTIC (R) 5.197A",1
66,"117,9750 – 121,4500","MOBIL AERONAUTIC (R) 5.200
ECA5",1
